what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393850897682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393850911987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393850916353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393850980456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393851050570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393851053809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393851109616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393851111580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393851117446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393851118177
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393851587598
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393851607629
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393851608520
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393851610122
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393851640608
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393851642183
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393851643163
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393851668091
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393851687924
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393851689341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393851690330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393851719548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393851720941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852153542
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852159649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852163882
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852174026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852740048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852741200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852749034
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1393852754781
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393852768703
error,log,,,"Tab group extension: org.eclipse.jdt.debug.ui.launchConfigurationTabGroup.remoteJavaApplication for type org.eclipse.jdt.launching.remoteJavaApplication for the * mode has been replaced by extension: org.jboss.tools.common.jdt.debug.ui.launching.launchConfigurationTabGroup.JBossRemoteJavaApplication2",1393852768845
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1393852768942
started,bundle,org.jboss.ide.eclipse.freemarker,1.2.0.v20110915-1536-H19-M3,"org.jboss.ide.eclipse.freemarker",1393852768963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852769437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852803476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852813668
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852870642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852875571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393852901445
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393852901823
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393852901910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853177039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853178099
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853178189
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853178191
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1393853179667
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853191882
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1393853193260
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853193260
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853193272
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853193290
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853193305
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853193318
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393853205635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853207085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853282769
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853283059
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853283108
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1393853289736
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1393853292322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853301923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853303151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853305185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853348047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853370706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853373225
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853373257
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853455188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853456130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853458763
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1393853463558
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853463581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853475694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853504911
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1393853504928
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853519325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853531133
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853532242
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853532415
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1393853533847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853536265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853629660
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853629786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853633169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853666681
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853666750
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1393853667415
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853669758
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1393853671141
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853671361
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853671421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853700818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853703287
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853709693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853713308
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1393853714001
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1393853714545
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1393853714568
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1393853714576
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1393853714578
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1393853723330
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1393853730474
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853730655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853735683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853738613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853738661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853740098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853740146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853741136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1393853755585
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853756597
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1393853758867
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853763294
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393853765635
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1393853768099
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1393853777006
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1393853779257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853785093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853785264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1393853787472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1393853792746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853823663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853832888
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853834679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393853838131
